date,symbol,open_interest,open_interest_usd
2023-12-20T04:00:00Z,ADAUSDT,143277424,82943300.7536
2023-12-20T04:00:00Z,ADAUSDT,143277424,82943300.7536
2023-12-20T04:00:00Z,ADAUSDT,143277424,82943300.7536
2023-12-20T08:00:00Z,ADAUSDT,144857954,85741422.9726
2023-12-20T12:00:00Z,ADAUSDT,146418059,86582263.480101645
2023-12-20T16:00:00Z,ADAUSDT,142894851,85873182.27465615
2023-12-20T20:00:00Z,ADAUSDT,142418817,84753437.9967
2023-12-21T00:00:00Z,ADAUSDT,139640133,82373714.4567
2023-12-21T04:00:00Z,ADAUSDT,141274183,83902737.2837
2023-12-21T08:00:00Z,ADAUSDT,144265146,86342689.881
2023-12-21T12:00:00Z,ADAUSDT,146669748,89578500.18998316
2023-12-21T16:00:00Z,ADAUSDT,144151729,86137490.8694546
2023-12-21T20:00:00Z,ADAUSDT,145693439,89594193.4254595
2023-12-22T00:00:00Z,ADAUSDT,149670869,95162552.52113228
2023-12-22T04:00:00Z,ADAUSDT,153351756,96350908.2948
2023-12-22T08:00:00Z,ADAUSDT,143828827,88490198.23202647
2023-12-22T12:00:00Z,ADAUSDT,146279289,90488368.1754
2023-12-22T16:00:00Z,ADAUSDT,144431720,89518780.056
2023-12-22T20:00:00Z,ADAUSDT,147494287,91092471.6512
2023-12-23T00:00:00Z,ADAUSDT,147773204,92046814.56164184
2023-12-23T04:00:00Z,ADAUSDT,148339979,89038331.07193808
2023-12-23T08:00:00Z,ADAUSDT,150332730,90800968.92
2023-12-23T12:00:00Z,ADAUSDT,149182863,90194568.58551684
2023-12-23T16:00:00Z,ADAUSDT,152130628,91871686.2492
2023-12-23T20:00:00Z,ADAUSDT,154735414,93537898.1809108
2023-12-24T00:00:00Z,ADAUSDT,154954687,95031036.56874925
2023-12-24T04:00:00Z,ADAUSDT,153989271,95433113.70327312
2023-12-24T08:00:00Z,ADAUSDT,153309390,94331267.667
2023-12-24T12:00:00Z,ADAUSDT,155016491,95257633.7195
2023-12-24T16:00:00Z,ADAUSDT,154713665,95210789.441
2023-12-24T20:00:00Z,ADAUSDT,154377940,95482755.89
2023-12-25T00:00:00Z,ADAUSDT,158987759,94162985.24642317
2023-12-25T04:00:00Z,ADAUSDT,157254765,95076230.919
2023-12-25T08:00:00Z,ADAUSDT,158713391,95702063.8848997
2023-12-25T12:00:00Z,ADAUSDT,159726084,96983713.5739668
2023-12-25T16:00:00Z,ADAUSDT,162459621,100367553.8538
2023-12-25T20:00:00Z,ADAUSDT,166368167,103281358.0736
2023-12-26T00:00:00Z,ADAUSDT,166529831,104047838.4088
2023-12-26T04:00:00Z,ADAUSDT,164430837,101832017.3541
2023-12-26T08:00:00Z,ADAUSDT,159756267,96572663.4015
2023-12-26T12:00:00Z,ADAUSDT,160868798,98886050.1306
2023-12-26T16:00:00Z,ADAUSDT,163989233,99787448.2805
2023-12-26T20:00:00Z,ADAUSDT,155235599,91648041.06065568
2023-12-27T00:00:00Z,ADAUSDT,155631092,94799693.13114452
2023-12-27T04:00:00Z,ADAUSDT,155571584,91857616.70031744
2023-12-27T08:00:00Z,ADAUSDT,153988306,91900221.0208
2023-12-27T12:00:00Z,ADAUSDT,158009666,96848249.92377926
2023-12-27T16:00:00Z,ADAUSDT,166970279,103682468.88024998
2023-12-27T20:00:00Z,ADAUSDT,171939391,109585775.4617253
2023-12-28T00:00:00Z,ADAUSDT,171013494,108456757.8948
2023-12-28T04:00:00Z,ADAUSDT,176201413,116442050.07380778
2023-12-28T08:00:00Z,ADAUSDT,172087373,113958574.69664058
2023-12-28T12:00:00Z,ADAUSDT,170707606,110327711.2104184
2023-12-28T16:00:00Z,ADAUSDT,160695653,99223987.98138437
2023-12-28T20:00:00Z,ADAUSDT,157238539,98485487.80114394
2023-12-29T00:00:00Z,ADAUSDT,156881279,96701620.3756
2023-12-29T04:00:00Z,ADAUSDT,154087951,94656228.2993
2023-12-29T08:00:00Z,ADAUSDT,152235439,92604817.5437
2023-12-29T12:00:00Z,ADAUSDT,152963168,95188979.4464
2023-12-29T16:00:00Z,ADAUSDT,153286854,92595293.97346283
2023-12-29T20:00:00Z,ADAUSDT,153377057,93421965.4187
2023-12-30T00:00:00Z,ADAUSDT,151450320,92157519.72
2023-12-30T04:00:00Z,ADAUSDT,149689109,90576879.8559
2023-12-30T08:00:00Z,ADAUSDT,148749666,89804638.82917333
2023-12-30T12:00:00Z,ADAUSDT,149057221,89400827.51786362
2023-12-30T16:00:00Z,ADAUSDT,150601208,91881394.89557464
2023-12-30T20:00:00Z,ADAUSDT,149601594,90957353.25956868
2023-12-31T00:00:00Z,ADAUSDT,149409279,89854740.3906
2023-12-31T04:00:00Z,ADAUSDT,149482304,89898657.6256
2023-12-31T08:00:00Z,ADAUSDT,148867054,90510046.37441283
2023-12-31T12:00:00Z,ADAUSDT,149654717,90591069.00536479
2023-12-31T16:00:00Z,ADAUSDT,151501050,91021830.84
2023-12-31T20:00:00Z,ADAUSDT,152232971,91378309.72030067
2024-01-01T00:00:00Z,ADAUSDT,151911831,90250818.7971
2024-01-01T04:00:00Z,ADAUSDT,151260893,90148955.5828244
2024-01-01T08:00:00Z,ADAUSDT,150219525,90063991.53154425
2024-01-01T12:00:00Z,ADAUSDT,150006961,90569324.82542828
2024-01-01T16:00:00Z,ADAUSDT,149016836,90348907.6668
2024-01-01T20:00:00Z,ADAUSDT,149664438,92627320.6782
2024-01-02T00:00:00Z,ADAUSDT,149065794,92998686.07820538
