date,symbol,open_interest,open_interest_usd
2023-12-20T04:00:00Z,ATOMUSDT,5311031.76,55293151.65336
2023-12-20T04:00:00Z,ATOMUSDT,5311031.76,55293151.65336
2023-12-20T04:00:00Z,ATOMUSDT,5311031.76,55293151.65336
2023-12-20T08:00:00Z,ATOMUSDT,5357500.64,57229107.44483912
2023-12-20T12:00:00Z,ATOMUSDT,5251008.17,56205882.86973634
2023-12-20T16:00:00Z,ATOMUSDT,5136666.86,55809885.4339
2023-12-20T20:00:00Z,ATOMUSDT,5091464.63,54249555.63265
2023-12-21T00:00:00Z,ATOMUSDT,5054571.53,53929646.81516148
2023-12-21T04:00:00Z,ATOMUSDT,5148318.69,54582474.75138
2023-12-21T08:00:00Z,ATOMUSDT,5149175.43,54720287.29461
2023-12-21T12:00:00Z,ATOMUSDT,5126773.21,55965777.10594313
2023-12-21T16:00:00Z,ATOMUSDT,5077709.85,54625053.79621453
2023-12-21T20:00:00Z,ATOMUSDT,5083953.23,57677449.39435
2023-12-22T00:00:00Z,ATOMUSDT,5017225.42,57280813.50490992
2023-12-22T04:00:00Z,ATOMUSDT,5107808.24,58188151.47008
2023-12-22T08:00:00Z,ATOMUSDT,5106544.46,57178804.25112096
2023-12-22T12:00:00Z,ATOMUSDT,5230210.34,59164139.36608
2023-12-22T16:00:00Z,ATOMUSDT,5305019.52,59745129.83424
2023-12-22T20:00:00Z,ATOMUSDT,5275528.3,59291662.5637
2023-12-23T00:00:00Z,ATOMUSDT,5323588.53,60710896.78058249
2023-12-23T04:00:00Z,ATOMUSDT,5383168.88,60334556.80704
2023-12-23T08:00:00Z,ATOMUSDT,5496249.99,60887457.38922
2023-12-23T12:00:00Z,ATOMUSDT,5438109.75,60858957.51987075
2023-12-23T16:00:00Z,ATOMUSDT,5468514.88,61624694.18272
2023-12-23T20:00:00Z,ATOMUSDT,5484930.42,61227968.27019266
2023-12-24T00:00:00Z,ATOMUSDT,5488727.3,62245826.31273091
2023-12-24T04:00:00Z,ATOMUSDT,5509388.5,63099026.4905
2023-12-24T08:00:00Z,ATOMUSDT,5438331.55,62883427.71265
2023-12-24T12:00:00Z,ATOMUSDT,5446597.43,63294908.73403
2023-12-24T16:00:00Z,ATOMUSDT,5413099.05,62534265.00370559
2023-12-24T20:00:00Z,ATOMUSDT,5368096.16,62469659.63006552
2023-12-25T00:00:00Z,ATOMUSDT,5301014.97,59582541.9709336
2023-12-25T04:00:00Z,ATOMUSDT,5403051.15,60746504.07945
2023-12-25T08:00:00Z,ATOMUSDT,5397797.41,61384898.90857975
2023-12-25T12:00:00Z,ATOMUSDT,5419474,62387314.08094476
2023-12-25T16:00:00Z,ATOMUSDT,5403152.32,63546474.43552
2023-12-25T20:00:00Z,ATOMUSDT,5404142.65,64525463.241
2023-12-26T00:00:00Z,ATOMUSDT,5382245.63,64079662.19013458
2023-12-26T04:00:00Z,ATOMUSDT,5468415.81,66736546.54524
2023-12-26T08:00:00Z,ATOMUSDT,5376969.24,65002181.14236
2023-12-26T12:00:00Z,ATOMUSDT,5351324.31,64806992.52818018
2023-12-26T16:00:00Z,ATOMUSDT,5293679.19,62280135.67035
2023-12-26T20:00:00Z,ATOMUSDT,5280014.3,60478224.79634855
2023-12-27T00:00:00Z,ATOMUSDT,5230570.7,60909995.8015
2023-12-27T04:00:00Z,ATOMUSDT,5325971.12,59981086.75344
2023-12-27T08:00:00Z,ATOMUSDT,5394510.23,61373342.88671
2023-12-27T12:00:00Z,ATOMUSDT,5341112.22,62714251.86291415
2023-12-27T16:00:00Z,ATOMUSDT,5229254.43,62500048.94736
2023-12-27T20:00:00Z,ATOMUSDT,5127149.44,61438631.73952
2023-12-28T00:00:00Z,ATOMUSDT,5165194.34,61833362.19352063
2023-12-28T04:00:00Z,ATOMUSDT,5216968.13,62619268.46439
2023-12-28T08:00:00Z,ATOMUSDT,5255130.28,61457140.92259344
2023-12-28T12:00:00Z,ATOMUSDT,5235601.07,62447479.51114588
2023-12-28T16:00:00Z,ATOMUSDT,5109469.46,58380798.04996
2023-12-28T20:00:00Z,ATOMUSDT,5152336.4,59293087.2912
2023-12-29T00:00:00Z,ATOMUSDT,5183203.77,59129988.60816
2023-12-29T04:00:00Z,ATOMUSDT,5260484.57,59862437.57091512
2023-12-29T08:00:00Z,ATOMUSDT,5200962.22,58486666.45347848
2023-12-29T12:00:00Z,ATOMUSDT,5231025.47,60150771.21003021
2023-12-29T16:00:00Z,ATOMUSDT,5179485.3,57476748.3741
2023-12-29T20:00:00Z,ATOMUSDT,5285421.17,58166059.97585
2023-12-30T00:00:00Z,ATOMUSDT,5246410.24,57660424.89911821
2023-12-30T04:00:00Z,ATOMUSDT,5307469.48,57923304.61774533
2023-12-30T08:00:00Z,ATOMUSDT,5286586.6,57187762.67400178
2023-12-30T12:00:00Z,ATOMUSDT,5464170.2,58627054.5319588
2023-12-30T16:00:00Z,ATOMUSDT,5454009.64,59491187.72058837
2023-12-30T20:00:00Z,ATOMUSDT,5417310.16,58546914.63355096
2023-12-31T00:00:00Z,ATOMUSDT,5440621.46,58522397.2323544
2023-12-31T04:00:00Z,ATOMUSDT,5407612.53,58288655.46087
2023-12-31T08:00:00Z,ATOMUSDT,5459578.97,59493032.03609
2023-12-31T12:00:00Z,ATOMUSDT,5507406.31,59829712.68938786
2023-12-31T16:00:00Z,ATOMUSDT,5511072.95,59953312.2771444
2023-12-31T20:00:00Z,ATOMUSDT,5518529.56,60154482.30717037
2024-01-01T00:00:00Z,ATOMUSDT,5361288.35,56888630.68185
2024-01-01T04:00:00Z,ATOMUSDT,5434583.02,57490833.01288594
2024-01-01T08:00:00Z,ATOMUSDT,5438841.34,58237692.44336199
2024-01-01T12:00:00Z,ATOMUSDT,5392297.17,58668193.2096
2024-01-01T16:00:00Z,ATOMUSDT,5364872.84,58726261.81596457
2024-01-01T20:00:00Z,ATOMUSDT,5333434.78,59595647.80215399
2024-01-02T00:00:00Z,ATOMUSDT,5171796.32,57994590.35298985
2024-01-02T04:00:00Z,ATOMUSDT,5113273.06,57900119.83210275
2024-01-02T08:00:00Z,ATOMUSDT,5066863.16,57371726.1385089
2024-01-02T12:00:00Z,ATOMUSDT,5065702.15,57332195.9535899
2024-01-02T16:00:00Z,ATOMUSDT,5137963.12,56892665.62776
2024-01-02T20:00:00Z,ATOMUSDT,5230388.97,57942249.00966
2024-01-03T00:00:00Z,ATOMUSDT,5284802.88,57958433.18496
2024-01-03T04:00:00Z,ATOMUSDT,5436693.96,60182959.90699708
2024-01-03T08:00:00Z,ATOMUSDT,5522809.81,61557238.14226
2024-01-03T12:00:00Z,ATOMUSDT,5492516.06,59905112.69949889
2024-01-03T16:00:00Z,ATOMUSDT,4937913.77,50442655.05002627
2024-01-03T20:00:00Z,ATOMUSDT,4793947.25,47721132.79571189
2024-01-04T00:00:00Z,ATOMUSDT,4762119.05,47272173.2709474
2024-01-04T04:00:00Z,ATOMUSDT,4692740.37,47055175.28842417
2024-01-04T08:00:00Z,ATOMUSDT,4659944.18,46212682.23027077
2024-01-04T12:00:00Z,ATOMUSDT,4621059.59,46272836.53572235
2024-01-04T16:00:00Z,ATOMUSDT,4703114.89,48310396.15008
2024-01-04T20:00:00Z,ATOMUSDT,4716001.06,48315430.8597
2024-01-05T00:00:00Z,ATOMUSDT,4673673.11,47990380.86390725
2024-01-05T04:00:00Z,ATOMUSDT,4548659.06,45700620.74713334
2024-01-05T08:00:00Z,ATOMUSDT,4540923.47,46067668.60315
2024-01-05T12:00:00Z,ATOMUSDT,4653204.91,49016860.52194
2024-01-05T16:00:00Z,ATOMUSDT,4596706.55,45881777.05749466
2024-01-05T20:00:00Z,ATOMUSDT,4669330.12,46768010.48192
2024-01-06T00:00:00Z,ATOMUSDT,4617466.49,47664049.77199669
2024-01-06T04:00:00Z,ATOMUSDT,4613094.33,46518443.22372
2024-01-06T08:00:00Z,ATOMUSDT,4619333.31,45077250.29719093
2024-01-06T12:00:00Z,ATOMUSDT,4435031.8,44015571.68985692
2024-01-06T16:00:00Z,ATOMUSDT,4271219.18,42417477.67658
2024-01-06T20:00:00Z,ATOMUSDT,4151943.28,41120846.24512
2024-01-07T00:00:00Z,ATOMUSDT,4174813.36,41038417.04047348
2024-01-07T04:00:00Z,ATOMUSDT,4210069.18,41242893.86733519
2024-01-07T08:00:00Z,ATOMUSDT,4193225.72,41240465.48794329
2024-01-07T12:00:00Z,ATOMUSDT,4180853.77,40749096.2686097
2024-01-07T16:00:00Z,ATOMUSDT,4131237.74,40202869.63598754
2024-01-07T20:00:00Z,ATOMUSDT,4216980.16,41174594.28224
2024-01-08T00:00:00Z,ATOMUSDT,4278341.89,40250640.50112
2024-01-08T04:00:00Z,ATOMUSDT,4389291.29,40006011.63918577
2024-01-08T08:00:00Z,ATOMUSDT,4300622.39,40012412.36886099
2024-01-08T12:00:00Z,ATOMUSDT,4222987.78,39909188.58190556
2024-01-08T16:00:00Z,ATOMUSDT,4162739.69,39982361.51633049
2024-01-08T20:00:00Z,ATOMUSDT,4174433.05,41514736.68225
2024-01-09T00:00:00Z,ATOMUSDT,4146960.15,41251785.94303738
2024-01-09T04:00:00Z,ATOMUSDT,4110144.46,40715091.02076
2024-01-09T08:00:00Z,ATOMUSDT,4137885.44,41354027.08736
2024-01-09T12:00:00Z,ATOMUSDT,4205029.83,41551074.80376569
2024-01-09T16:00:00Z,ATOMUSDT,4160205.49,40187585.0334
2024-01-09T20:00:00Z,ATOMUSDT,4157063.59,39729893.62967194
2024-01-10T00:00:00Z,ATOMUSDT,4168429.58,40283703.46112
2024-01-10T04:00:00Z,ATOMUSDT,4166729.69,40812557.59675074
2024-01-10T08:00:00Z,ATOMUSDT,4158658.34,40251654.07286
2024-01-10T12:00:00Z,ATOMUSDT,4165707.76,40666614.01205
2024-01-10T16:00:00Z,ATOMUSDT,4166950.72,40256910.90592
2024-01-10T20:00:00Z,ATOMUSDT,4079961.31,40375297.12376
2024-01-11T00:00:00Z,ATOMUSDT,3974861.14,41291496.04401353
2024-01-11T04:00:00Z,ATOMUSDT,3939740.56,41524865.5024
2024-01-11T08:00:00Z,ATOMUSDT,4022832.21,42038596.5945
2024-01-11T12:00:00Z,ATOMUSDT,4068593.18,43940806.344
