date,symbol,open_interest,open_interest_usd
2023-12-21T00:00:00Z,ATOMUSDT,5054571.53,53929646.81516148
2023-12-21T00:00:00Z,ATOMUSDT,5054571.53,53929646.81516148
2023-12-21T00:00:00Z,ATOMUSDT,5054571.53,53929646.81516148
2023-12-22T00:00:00Z,ATOMUSDT,5017225.42,57280813.50490992
2023-12-23T00:00:00Z,ATOMUSDT,5323588.53,60710896.78058249
2023-12-24T00:00:00Z,ATOMUSDT,5488727.3,62245826.31273091
2023-12-25T00:00:00Z,ATOMUSDT,5301014.97,59582541.9709336
2023-12-26T00:00:00Z,ATOMUSDT,5382245.63,64079662.19013458
2023-12-27T00:00:00Z,ATOMUSDT,5230570.7,60909995.8015
2023-12-28T00:00:00Z,ATOMUSDT,5165194.34,61833362.19352063
2023-12-29T00:00:00Z,ATOMUSDT,5183203.77,59129988.60816
2023-12-30T00:00:00Z,ATOMUSDT,5246410.24,57660424.89911821
2023-12-31T00:00:00Z,ATOMUSDT,5440621.46,58522397.2323544
2024-01-01T00:00:00Z,ATOMUSDT,5361288.35,56888630.68185
2024-01-02T00:00:00Z,ATOMUSDT,5171796.32,57994590.35298985
2024-01-03T00:00:00Z,ATOMUSDT,5284802.88,57958433.18496
2024-01-04T00:00:00Z,ATOMUSDT,4762119.05,47272173.2709474
2024-01-05T00:00:00Z,ATOMUSDT,4673673.11,47990380.86390725
2024-01-06T00:00:00Z,ATOMUSDT,4617466.49,47664049.77199669
2024-01-07T00:00:00Z,ATOMUSDT,4174813.36,41038417.04047348
2024-01-08T00:00:00Z,ATOMUSDT,4278341.89,40250640.50112
2024-01-09T00:00:00Z,ATOMUSDT,4146960.15,41251785.94303738
2024-01-10T00:00:00Z,ATOMUSDT,4168429.58,40283703.46112
2024-01-11T00:00:00Z,ATOMUSDT,3974861.14,41291496.04401353
2024-01-12T00:00:00Z,ATOMUSDT,4254373.02,45345145.6620115
2024-01-13T00:00:00Z,ATOMUSDT,4283781.77,42680805.232054
2024-01-14T00:00:00Z,ATOMUSDT,4165754.88,42519860.06016
2024-01-15T00:00:00Z,ATOMUSDT,4065240.94,40611256.84400715
2024-01-16T00:00:00Z,ATOMUSDT,4061484.43,41345911.4974
2024-01-17T00:00:00Z,ATOMUSDT,4145497.05,42636437.15925
2024-01-18T00:00:00Z,ATOMUSDT,4214648.21,42787108.62792
2024-01-19T00:00:00Z,ATOMUSDT,4166441.43,40389483.22242
2024-01-20T00:00:00Z,ATOMUSDT,4090128.41,39711056.73269
