Date,maturity,symbol,side,strike,Vt,St,tau,ask,bid,vol,trade
2023-03-04T17:05:02Z,2023-03-05T00:00:00Z,BTC-230305-21000-C,CALL,21000,1427.5,22319.55413043,0.00273972602739726,NA,NA,NA,NA
2023-03-04T17:05:02Z,2023-03-05T00:00:00Z,BTC-230305-21000-P,PUT,21000,7.5,22319.62572498,0.00273972602739726,NA,NA,NA,NA
2023-03-04T17:05:02Z,2023-03-05T00:00:00Z,BTC-230305-21500-C,CALL,21500,890,22319.20616954,0.00273972602739726,NA,NA,NA,NA
2023-03-04T17:05:02Z,2023-03-05T00:00:00Z,BTC-230305-21500-P,PUT,21500,7.5,22319.20616954,0.00273972602739726,NA,NA,NA,NA
2023-03-04T17:05:02Z,2023-03-05T00:00:00Z,BTC-230305-21750-C,CALL,21750,522.5,22319.34334104,0.00273972602739726,NA,NA,NA,NA
2023-03-04T17:05:02Z,2023-03-05T00:00:00Z,BTC-230305-21750-P,PUT,21750,22.5,22319.34334104,0.00273972602739726,NA,NA,NA,NA
2023-03-04T17:05:02Z,2023-03-05T00:00:00Z,BTC-230305-22000-C,CALL,22000,355,22319.34334104,0.00273972602739726,NA,NA,NA,NA
2023-03-04T17:05:02Z,2023-03-05T00:00:00Z,BTC-230305-22000-P,PUT,22000,32.5,22319.34334104,0.00273972602739726,NA,NA,NA,NA
2023-03-04T17:05:02Z,2023-03-05T00:00:00Z,BTC-230305-22250-C,CALL,22250,145,22319.34334104,0.00273972602739726,NA,NA,NA,NA
2023-03-04T17:05:02Z,2023-03-05T00:00:00Z,BTC-230305-22250-P,PUT,22250,72.5,22319.34334104,0.00273972602739726,NA,NA,NA,NA
2023-03-04T17:05:02Z,2023-03-05T00:00:00Z,BTC-230305-22500-C,CALL,22500,27.5,22319.34334104,0.00273972602739726,NA,NA,NA,NA
2023-03-04T17:05:02Z,2023-03-05T00:00:00Z,BTC-230305-22500-P,PUT,22500,205,22321.83332422,0.00273972602739726,NA,NA,NA,NA
2023-03-04T17:05:02Z,2023-03-05T00:00:00Z,BTC-230305-22750-C,CALL,22750,20,22321.83332422,0.00273972602739726,NA,NA,NA,NA
2023-03-04T17:05:02Z,2023-03-05T00:00:00Z,BTC-230305-22750-P,PUT,22750,435,22321.83332422,0.00273972602739726,NA,NA,NA,NA
2023-03-04T17:05:02Z,2023-03-05T00:00:00Z,BTC-230305-23000-C,CALL,23000,10,22321.83332422,0.00273972602739726,NA,NA,NA,NA
2023-03-04T17:05:02Z,2023-03-05T00:00:00Z,BTC-230305-23000-P,PUT,23000,655,22321.83332422,0.00273972602739726,NA,NA,NA,NA
2023-03-04T17:05:02Z,2023-03-05T00:00:00Z,BTC-230305-23500-C,CALL,23500,10,22321.83332422,0.00273972602739726,NA,NA,NA,NA
2023-03-04T17:05:02Z,2023-03-05T00:00:00Z,BTC-230305-23500-P,PUT,23500,1252.5,22321.83332422,0.00273972602739726,NA,NA,NA,NA
2023-03-04T17:05:02Z,2023-03-05T00:00:00Z,BTC-230305-24000-C,CALL,24000,5,22321.83332422,0.00273972602739726,NA,NA,NA,NA
2023-03-04T17:05:02Z,2023-03-05T00:00:00Z,BTC-230305-24000-P,PUT,24000,1612.5,22321.47549565,0.00273972602739726,NA,NA,NA,NA
2023-03-04T17:05:02Z,2023-03-06T00:00:00Z,BTC-230306-21000-C,CALL,21000,11547.5,22321.47549565,0.00547945205479452,NA,NA,NA,NA
2023-03-04T17:05:02Z,2023-03-06T00:00:00Z,BTC-230306-21000-P,PUT,21000,10,22321.47549565,0.00547945205479452,NA,NA,NA,NA
2023-03-04T17:05:02Z,2023-03-06T00:00:00Z,BTC-230306-21500-C,CALL,21500,11320,22323.66048933,0.00547945205479452,NA,NA,NA,NA
