Date,maturity,symbol,side,strike,Vt,St,tau,ask,bid,vol,trade
2023-03-10T18:08:10Z,2023-03-11,BTC-230311-20500-C,CALL,20500,32.5,19931.10431609,6.693553397085145e-4,35,30,95.07,157
2023-03-10T18:08:10Z,2023-03-11,BTC-230311-20500-P,PUT,20500,525,19931.84731687,6.693472048160934e-4,620,430,NA,NA
2023-03-10T18:08:10Z,2023-03-11,BTC-230311-21000-C,CALL,21000,7.5,19931.84731687,6.693249130191566e-4,10,5,NA,NA
2023-03-10T18:08:10Z,2023-03-11,BTC-230311-21000-P,PUT,21000,1072.5,19931.84731687,6.693158356793213e-4,1345,800,NA,NA
2023-03-10T18:08:10Z,2023-03-11,BTC-230311-21200-C,CALL,21200,12.5,19931.80613411,6.693060801287462e-4,15,10,NA,NA
2023-03-10T18:08:10Z,2023-03-11,BTC-230311-21200-P,PUT,21200,1137.5,19931.80613411,6.692978472560871e-4,1335,940,NA,NA
2023-03-10T18:08:10Z,2023-03-11,BTC-230311-21400-C,CALL,21400,7.5,19931.80613411,6.692895859948636e-4,15,0,NA,NA
2023-03-10T18:08:10Z,2023-03-11,BTC-230311-21400-P,PUT,21400,1450,19931.80613411,6.692815260996618e-4,1525,1375,NA,NA
2023-03-10T18:08:10Z,2023-03-11,BTC-230311-21500-C,CALL,21500,5,19931.80613411,0.00066927338552952775,10,0,NA,NA
2023-03-10T18:08:10Z,2023-03-11,BTC-230311-21500-P,PUT,21500,1565,19931.80613411,6.692651533826482e-4,1645,1485,NA,NA
2023-03-10T18:08:10Z,2023-03-11,BTC-230311-21600-C,CALL,21600,5,19930.01528567,6.692569725997916e-4,10,0,NA,NA
2023-03-10T18:08:10Z,2023-03-11,BTC-230311-21600-P,PUT,21600,1655,19930.01528567,6.692482636006335e-4,1730,1580,NA,NA
2023-03-10T18:08:10Z,2023-03-11,BTC-230311-21700-C,CALL,21700,0,19930.01528567,6.692402414988891e-4,0,0,NA,NA
2023-03-10T18:08:10Z,2023-03-11,BTC-230311-21700-P,PUT,21700,1770,19930.01528567,6.692321702785022e-4,1860,1680,NA,NA
2023-03-10T18:08:10Z,2023-03-11,BTC-230311-21900-C,CALL,21900,0,19929.30883825,6.692240234636402e-4,0,0,NA,NA
2023-03-10T18:08:10Z,2023-03-11,BTC-230311-21900-P,PUT,21900,1960,19929.30883825,6.692159283681305e-4,2050,1870,NA,NA
2023-03-10T18:08:10Z,2023-03-11,BTC-230311-22200-C,CALL,22200,0,19929.30883825,6.692079912808751e-4,0,0,NA,NA
2023-03-10T18:08:10Z,2023-03-11,BTC-230311-22200-P,PUT,22200,2272.5,19929.30883825,6.691999997450336e-4,2375,2170,NA,NA
2023-03-10T18:08:10Z,2023-03-11,BTC-230311-22500-C,CALL,22500,10,19931.35409194,6.691919327129996e-4,20,0,NA,NA
2023-03-10T18:08:10Z,2023-03-11,BTC-230311-22500-P,PUT,22500,2555,19931.35409194,6.691838321287822e-4,2670,2440,NA,NA
2023-03-10T18:08:10Z,2023-03-12,BTC-230312-18000-C,CALL,18000,1925,19931.35409194,0.0034089018023827546,2010,1840,NA,NA
2023-03-10T18:08:10Z,2023-03-12,BTC-230312-18000-P,PUT,18000,17.5,19931.35409194,0.00340889252115179,25,10,NA,NA
2023-03-10T18:08:10Z,2023-03-12,BTC-230312-19000-C,CALL,19000,997.5,19931.35409194,0.00340888444723241,1050,945,NA,NA
2023-03-10T18:08:10Z,2023-03-12,BTC-230312-19000-P,PUT,19000,55,19931.35409194,0.003408876116182948,60,50,NA,NA
2023-03-10T18:08:10Z,2023-03-12,BTC-230312-19400-C,CALL,19400,640,19931.35409194,0.003408867984269247,675,605,NA,NA
2023-03-10T18:08:10Z,2023-03-12,BTC-230312-19400-P,PUT,19400,97.5,19931.35409194,0.0034088597903013957,105,90,NA,NA
2023-03-10T18:08:10Z,2023-03-12,BTC-230312-19600-C,CALL,19600,470,19931.48560112,0.0034088516634605912,495,445,NA,NA
2023-03-10T18:08:10Z,2023-03-12,BTC-230312-19600-P,PUT,19600,135,19931.48560112,0.0034088434441584973,145,125,NA,NA
2023-03-10T18:08:10Z,2023-03-12,BTC-230312-19800-C,CALL,19800,327.5,19931.48560112,0.0034088353747449996,350,305,NA,NA
2023-03-10T18:08:10Z,2023-03-12,BTC-230312-19800-P,PUT,19800,197.5,19931.48560112,0.0034088272196214735,210,185,NA,NA
2023-03-10T18:08:10Z,2023-03-12,BTC-230312-19900-C,CALL,19900,275,19939.52061756,0.003408819175451495,290,260,NA,NA
2023-03-10T18:08:10Z,2023-03-12,BTC-230312-19900-P,PUT,19900,237.5,19939.52061756,0.0034088108084079035,250,225,NA,NA
2023-03-10T18:08:10Z,2023-03-12,BTC-230312-20000-C,CALL,20000,220,19939.52061756,0.0034088027309125478,230,210,NA,NA
2023-03-10T18:08:10Z,2023-03-12,BTC-230312-20000-P,PUT,20000,285,19939.52061756,0.0034087947272652603,300,270,NA,NA
2023-03-10T18:08:10Z,2023-03-12,BTC-230312-20200-C,CALL,20200,140,19942.06741935,0.0034087867269142215,150,130,NA,NA
2023-03-10T18:08:10Z,2023-03-12,BTC-230312-20200-P,PUT,20200,402.5,19942.06741935,0.0034087784188553383,430,375,NA,NA
2023-03-10T18:08:10Z,2023-03-12,BTC-230312-20400-C,CALL,20400,85,19942.06741935,0.0034087691028323167,90,80,NA,NA
2023-03-10T18:08:10Z,2023-03-12,BTC-230312-20400-P,PUT,20400,540,19942.06741935,0.0034087609479960786,570,510,NA,NA
2023-03-10T18:08:10Z,2023-03-12,BTC-230312-21000-C,CALL,21000,22.5,19942.06741935,0.00340874975976425,30,15,NA,NA
2023-03-10T18:08:10Z,2023-03-12,BTC-230312-21000-P,PUT,21000,1092.5,19942.06741935,0.00340874162934747,1150,1035,NA,NA
2023-03-10T18:08:10Z,2023-03-17,BTC-230317-16000-C,CALL,16000,3957.5,19942.06741935,0.017107363566589925,4155,3760,NA,NA
2023-03-10T18:08:10Z,2023-03-17,BTC-230317-16000-P,PUT,16000,25,19942.06741935,0.017107355463631804,30,20,NA,NA
2023-03-10T18:08:10Z,2023-03-17,BTC-230317-18000-C,CALL,18000,2055,19941.64344086,0.01710734738733852,2155,1955,NA,NA
2023-03-10T18:08:10Z,2023-03-17,BTC-230317-18000-P,PUT,18000,115,19941.64344086,0.017107339341195328,120,110,NA,NA
2023-03-10T18:08:10Z,2023-03-17,BTC-230317-19000-C,CALL,19000,1187.5,19941.64344086,0.017107317101314308,1200,1175,NA,NA
2023-03-10T18:08:10Z,2023-03-17,BTC-230317-19000-P,PUT,19000,242.5,19941.64344086,0.017107308891643913,245,240,NA,NA
2023-03-10T18:08:10Z,2023-03-17,BTC-230317-20000-C,CALL,20000,517.5,19941.64344086,0.017107300017756715,525,510,NA,NA
2023-03-10T18:08:10Z,2023-03-17,BTC-230317-20000-P,PUT,20000,570,19944.6483871,0.01710729172222509,580,560,NA,NA
2023-03-10T18:08:10Z,2023-03-17,BTC-230317-21000-C,CALL,21000,165,19944.6483871,0.017107269468576942,175,155,NA,NA
2023-03-10T18:08:10Z,2023-03-17,BTC-230317-21000-P,PUT,21000,1207.5,19947.99096774,0.017107261410390345,1220,1195,NA,NA
2023-03-10T18:08:10Z,2023-03-17,BTC-230317-22000-C,CALL,22000,47.5,19944.6483871,0.017107253285295946,50,45,NA,NA
2023-03-10T18:08:10Z,2023-03-17,BTC-230317-22000-P,PUT,22000,2097.5,19944.6483871,0.017107243312593647,2125,2070,NA,NA
2023-03-10T18:08:10Z,2023-03-17,BTC-230317-22500-C,CALL,22500,27.5,19944.6483871,0.017107235158105177,30,25,NA,NA
2023-03-10T18:08:10Z,2023-03-17,BTC-230317-22500-P,PUT,22500,2577.5,19947.99096774,0.017107227047344926,2605,2550,NA,NA
2023-03-10T18:08:10Z,2023-03-17,BTC-230317-24000-C,CALL,24000,15,19947.99096774,0.01710721742427936,20,10,NA,NA
2023-03-10T18:08:10Z,2023-03-17,BTC-230317-24000-P,PUT,24000,4052.5,19947.99096774,0.01710720925345329,4080,4025,NA,NA
2023-03-10T18:08:10Z,2023-03-17,BTC-230317-24500-C,CALL,24500,12.5,19947.99096774,0.017107201013572323,15,10,NA,NA
2023-03-10T18:08:10Z,2023-03-17,BTC-230317-24500-P,PUT,24500,4452.5,19947.99096774,0.017107191414956452,4575,4330,NA,NA
2023-03-10T18:08:10Z,2023-03-17,BTC-230317-25000-C,CALL,25000,12.5,19947.99096774,0.017107183397957845,15,10,NA,NA
2023-03-10T18:08:10Z,2023-03-17,BTC-230317-25000-P,PUT,25000,5275,19947.99096774,0.017107175224946876,5530,5020,NA,NA
2023-03-10T18:08:10Z,2023-03-17,BTC-230317-26000-C,CALL,26000,5,19955.74064516,0.017107166890313878,10,0,NA,NA
2023-03-10T18:08:10Z,2023-03-17,BTC-230317-26000-P,PUT,26000,6032.5,19955.74064516,0.01710715857439238,6060,6005,NA,NA
2023-03-10T18:08:10Z,2023-03-17,BTC-230317-27000-C,CALL,27000,2.5,19955.74064516,0.017107149215820537,5,0,NA,NA
2023-03-10T18:08:10Z,2023-03-17,BTC-230317-27000-P,PUT,27000,7032.5,19955.74064516,0.01710713944945131,7060,7005,NA,NA
2023-03-10T18:08:10Z,2023-03-17,BTC-230317-28000-C,CALL,28000,5,19955.74064516,0.017107131187849876,10,0,NA,NA
2023-03-10T18:08:10Z,2023-03-17,BTC-230317-28000-P,PUT,28000,7967.5,19955.74064516,0.017107120005704014,8365,7570,NA,NA
2023-03-10T18:08:10Z,2023-03-17,BTC-230317-29000-C,CALL,29000,2.5,19955.74064516,0.017107111921774925,5,0,NA,NA
2023-03-10T18:08:10Z,2023-03-17,BTC-230317-29000-P,PUT,29000,9010,19956.98302539,0.017107103833748204,9515,8505,NA,NA
2023-03-10T18:08:10Z,2023-03-24,BTC-230324-16000-C,CALL,16000,3952.5,19956.98302539,0.036285177386257625,4150,3755,NA,NA
2023-03-10T18:08:10Z,2023-03-24,BTC-230324-16000-P,PUT,16000,75,19956.98302539,0.036285169053053505,85,65,NA,NA
2023-03-10T18:08:10Z,2023-03-24,BTC-230324-18000-C,CALL,18000,2205,19956.98302539,0.036285160877063814,2440,1970,NA,NA
2023-03-10T18:08:10Z,2023-03-24,BTC-230324-18000-P,PUT,18000,242.5,19957.10322581,0.03628515277340259,250,235,NA,NA
2023-03-10T18:08:10Z,2023-03-24,BTC-230324-19000-C,CALL,19000,1412.5,19957.10322581,0.03628514470728535,1425,1400,NA,NA
2023-03-10T18:08:10Z,2023-03-24,BTC-230324-19000-P,PUT,19000,437.5,19957.10322581,0.03628513659071886,450,425,NA,NA
2023-03-10T18:08:10Z,2023-03-24,BTC-230324-20000-C,CALL,20000,772.5,19957.10322581,0.03628512845947802,780,765,NA,NA
2023-03-10T18:08:10Z,2023-03-24,BTC-230324-20000-P,PUT,20000,802.5,19957.82795699,0.03628512024688939,815,790,NA,NA
2023-03-10T18:08:10Z,2023-03-24,BTC-230324-21000-C,CALL,21000,370,19957.82795699,0.036285111856008474,380,360,NA,NA
2023-03-10T18:08:10Z,2023-03-24,BTC-230324-21000-P,PUT,21000,1397.5,19957.82795699,0.036285103650813715,1405,1390,NA,NA
2023-03-10T18:08:10Z,2023-03-24,BTC-230324-22000-C,CALL,22000,165,19957.82795699,0.03628509503421536,170,160,NA,NA
2023-03-10T18:08:10Z,2023-03-24,BTC-230324-22000-P,PUT,22000,2170,19965.33139785,0.03628508691708186,2195,2145,NA,NA
2023-03-10T18:08:10Z,2023-03-24,BTC-230324-23000-C,CALL,23000,82.5,19965.33139785,0.03628507880378138,85,80,NA,NA
2023-03-10T18:08:10Z,2023-03-24,BTC-230324-23000-P,PUT,23000,3080,19965.33139785,0.03628507076978744,3105,3055,NA,NA
2023-03-10T18:08:10Z,2023-03-24,BTC-230324-23500-C,CALL,23500,55,19965.33139785,0.036285062585390805,60,50,NA,NA
