api,pair,interval,from,to,n,missing,id
fapi,AVAXUSDT,1d,2020-09-23T00:00:00Z,2024-10-01T00:00:00Z,1470,0,AVAXUSDT-fapi-1d
fapi,AVAXUSDT,1h,2020-09-23T07:00:00Z,2024-10-01T13:00:00Z,35263,0,AVAXUSDT-fapi-1h
fapi,AVAXUSDT,1w,2020-09-21T00:00:00Z,2024-09-30T00:00:00Z,211,0,AVAXUSDT-fapi-1w
fapi,AVAXUSDT,30m,2020-09-23T07:00:00Z,2024-10-01T13:30:00Z,70526,0,AVAXUSDT-fapi-30m
fapi,AVAXUSDT,4h,2020-09-23T04:00:00Z,2024-10-01T12:00:00Z,8817,0,AVAXUSDT-fapi-4h
fapi,AVAXUSDT,5m,2020-09-23T07:00:00Z,2024-10-01T13:30:00Z,423151,0,AVAXUSDT-fapi-5m
fapi,BNBUSDT,15m,2020-02-10T08:00:00Z,2024-10-01T13:30:00Z,162743,0,BNBUSDT-fapi-15m
fapi,BNBUSDT,1M,2020-02-01T00:00:00Z,2024-10-01T00:00:00Z,57,0,BNBUSDT-fapi-1M
fapi,BNBUSDT,1d,2020-02-10T00:00:00Z,2024-10-01T00:00:00Z,1696,0,BNBUSDT-fapi-1d
fapi,BNBUSDT,1h,2020-02-10T08:00:00Z,2024-10-01T13:00:00Z,40686,0,BNBUSDT-fapi-1h
fapi,BNBUSDT,1w,2020-02-10T00:00:00Z,2024-09-30T00:00:00Z,243,0,BNBUSDT-fapi-1w
fapi,BNBUSDT,30m,2020-02-10T08:00:00Z,2024-10-01T13:30:00Z,81372,0,BNBUSDT-fapi-30m
fapi,BNBUSDT,4h,2020-02-10T08:00:00Z,2024-10-01T12:00:00Z,10172,0,BNBUSDT-fapi-4h
fapi,BNBUSDT,5m,2020-02-10T08:00:00Z,2024-10-01T13:30:00Z,488227,0,BNBUSDT-fapi-5m
fapi,BTCUSDT,15m,2019-09-08T17:45:00Z,2024-10-01T13:30:00Z,177584,0,BTCUSDT-fapi-15m
fapi,BTCUSDT,1M,2019-09-01T00:00:00Z,2024-10-01T00:00:00Z,62,0,BTCUSDT-fapi-1M
fapi,BTCUSDT,1d,2019-09-08T00:00:00Z,2024-10-01T00:00:00Z,1851,0,BTCUSDT-fapi-1d
fapi,BTCUSDT,1h,2019-09-08T17:00:00Z,2024-10-01T13:00:00Z,44397,0,BTCUSDT-fapi-1h
fapi,BTCUSDT,1w,2019-09-02T00:00:00Z,2024-09-30T00:00:00Z,266,0,BTCUSDT-fapi-1w
fapi,BTCUSDT,30m,2019-09-08T17:30:00Z,2024-10-01T13:30:00Z,88793,0,BTCUSDT-fapi-30m
fapi,BTCUSDT,4h,2019-09-08T16:00:00Z,2024-10-01T12:00:00Z,11100,0,BTCUSDT-fapi-4h
fapi,BTCUSDT,5m,2019-09-08T17:55:00Z,2024-10-01T13:30:00Z,532748,0,BTCUSDT-fapi-5m
fapi,DOGEUSDT,15m,2020-07-10T09:00:00Z,2024-10-01T13:30:00Z,148243,0,DOGEUSDT-fapi-15m
fapi,DOGEUSDT,1M,2020-07-01T00:00:00Z,2024-10-01T00:00:00Z,52,0,DOGEUSDT-fapi-1M
fapi,DOGEUSDT,1d,2020-07-10T00:00:00Z,2024-10-01T00:00:00Z,1545,0,DOGEUSDT-fapi-1d
