api,pair,interval,from,to,n,missing,id
fapi,ADAUSDT,1d,2023-12-21T00:00:00Z,2024-01-20T00:00:00Z,33,0,ADAUSDT-fapi-1d
fapi,ADAUSDT,4h,2023-12-20T04:00:00Z,2024-01-20T00:00:00Z,188,0,ADAUSDT-fapi-4h
fapi,ATOMUSDT,1d,2023-12-21T00:00:00Z,2024-01-20T00:00:00Z,33,0,ATOMUSDT-fapi-1d
fapi,ATOMUSDT,4h,2023-12-20T04:00:00Z,2024-01-20T00:00:00Z,188,0,ATOMUSDT-fapi-4h
fapi,BNBUSDT,1d,2023-12-21T00:00:00Z,2024-01-20T00:00:00Z,33,0,BNBUSDT-fapi-1d
fapi,BNBUSDT,4h,2023-12-20T04:00:00Z,2024-01-20T00:00:00Z,188,0,BNBUSDT-fapi-4h
fapi,BTCUSDT,1d,2023-12-21T00:00:00Z,2024-01-20T00:00:00Z,31,0,BTCUSDT-fapi-1d
fapi,BTCUSDT,4h,2023-12-20T04:00:00Z,2024-01-20T00:00:00Z,186,0,BTCUSDT-fapi-4h
fapi,ETHUSDT,1d,2023-12-21T00:00:00Z,2024-01-20T00:00:00Z,33,0,ETHUSDT-fapi-1d
fapi,ETHUSDT,4h,2023-12-20T04:00:00Z,2024-01-20T00:00:00Z,188,0,ETHUSDT-fapi-4h
fapi,MATICUSDT,1d,2023-12-21T00:00:00Z,2024-01-20T00:00:00Z,33,0,MATICUSDT-fapi-1d
fapi,MATICUSDT,4h,2023-12-20T04:00:00Z,2024-01-20T00:00:00Z,188,0,MATICUSDT-fapi-4h
fapi,SOLUSDT,1d,2023-12-21T00:00:00Z,2024-01-20T00:00:00Z,33,0,SOLUSDT-fapi-1d
fapi,SOLUSDT,4h,2023-12-20T04:00:00Z,2024-01-20T00:00:00Z,188,0,SOLUSDT-fapi-4h
fapi,XRPUSDT,1d,2023-12-21T00:00:00Z,2024-01-20T00:00:00Z,33,0,XRPUSDT-fapi-1d
fapi,XRPUSDT,4h,2023-12-20T04:00:00Z,2024-01-20T00:00:00Z,188,0,XRPUSDT-fapi-4h
