date,market,pair,ask,bid,spread,ask_depth,bid_depth,ask_perc,bid_perc
2023-10-07T01:34:13Z,spot,BNBUSDT,213.4,213.3,0.09999999999999432,2245179.5426,17745007.4429878,0.034106374189695914,0.8527462902956896
2023-10-07T01:34:13Z,spot,BTCUSDT,27877.18,27877.17,0.010000000002037268,8786300.8502334,0,1,0
2023-10-07T01:34:13Z,spot,ETHBTC,0.05892,0.05891,1.0000000000003062e-5,100.563368276,438.4316678174,0.05178172478712208,0.7371923665385225
2023-10-07T01:34:13Z,spot,ETHUSDT,1642.42,1642.41,0.009999999999990905,10845305.971896,14000859.415523,0.6031438720573232,0.5358554568326379
2023-10-07T01:34:13Z,spot,ADAUSDT,0.2639,0.2638,1.000000000000445e-4,781327.45847,6994672.227703,0.06895125708958297,0.8852475972624573
2023-10-07T01:34:13Z,spot,ATOMUSDT,6.906,6.905,9.999999999994458e-4,270941.91173,1391323.409123,0.074104586817419,0.7660816146936218
2023-10-07T01:34:13Z,spot,AVAXUSDT,10.78,10.77,0.009999999999999787,706258.0714,2938513.478497,0.04313246549395872,0.8175854371349206
2023-10-07T01:34:13Z,spot,BNBBTC,0.007654,0.007653,1.0000000000001327e-6,16.185874214,132.560911449,0.06085086937452052,0.8794635768580003
2023-10-07T01:34:13Z,spot,DOGEUSDT,0.06145,0.06144,9.999999999996123e-6,1212543.62195,5589366.2811514,0.06021452669320974,0.7860955304142503
2023-10-07T01:34:13Z,spot,EDUUSDT,0.43331,0.43326,4.999999999999449e-5,71415.74768,433456.93458,0.00993318178578349,0.7645196309387703
2023-10-07T01:34:13Z,spot,MATICUSDT,0.5713,0.5712,9.999999999998899e-5,600288.16561,5922331.877445,0.04906733493226014,0.7494139637092024
2023-10-07T01:34:13Z,spot,SOLUSDT,23.4,23.39,0.00999999999999801,2106137.8881,14800429.265434,0.07498387458753178,0.8630033614565288
2023-10-07T01:34:13Z,spot,WLDUSDT,1.643,1.642,0.001000000000000112,600276.6025,1331841.9161,0.022447523442929825,0.5840086564242841
2023-10-07T01:34:13Z,spot,XRPUSDT,0.5236,0.5235,9.999999999998899e-5,2470727.572,13315106.8506015,0.07204659630233623,0.8052150444830718
2023-10-07T01:33:55Z,spot,BNBUSDT,213.4,213.3,0.09999999999999432,2254965.9416,17745001.4525878,0.03424994697809235,0.8527427666987863
2023-10-07T01:33:55Z,spot,BTCUSDT,27878.61,27878.6,0.01000000000203726,8586516.8694901,0,1,0
2023-10-07T01:33:55Z,spot,ETHBTC,0.05892,0.05891,1.0000000000003062e-5,101.03218064000001,438.5469940184,0.0520105686412458,0.7373297753777266
2023-10-07T01:33:55Z,spot,ETHUSDT,1642.62,1642.61,0.0099999999999909,10738174.943677,13988347.981333,0.60088517489259885,0.5321971877076833
2023-10-07T01:33:55Z,spot,ADAUSDT,0.2639,0.2638,1.000000000000445e-4,779559.91395,6994672.227703,0.06880600592305351,0.8854836883337
