Date,Symbol,zero_balance_addresses_all_time,unique_addresses_all_time,new_addresses,active_addresses,transaction_count,transaction_count_all_time,large_transaction_count,average_transaction_value,block_height,hashrate,difficulty,block_time,block_size,current_supply,Id
2017-04-08,BTC,229649327,245238928,310645,603135,226959,211714985,5607,43.3476391811137,461030,3516629.92013258,499635929816.668,610.220588235294,974429,16262877.2953032,1182
2017-04-09,BTC,229975822,245565645,326717,666532,238286,211953271,3110,6.34687613487641,461189,3946404.66272623,499635929816.668,543.76582278481,925461,16264864.7953033,1182
2017-04-10,BTC,230292518,245944864,379219,695999,273384,212226655,4612,7.60023226286304,461336,3702966.78670702,499635929816.668,579.513698630137,917565,16266702.2953032,1182
2017-04-11,BTC,230679851,246363432,418568,762554,307893,212534548,4778,6.57576562836891,461503,4266344.69227121,499635929816.668,502.987951807229,962831,16268789.7953033,1182
2017-04-12,BTC,231009804,246750524,387092,694225,278093,212812641,5142,7.43792861616599,461645,3676217.00682998,499635929816.668,583.730496453901,982567,16270564.7953032,1182
2017-04-13,BTC,231319856,247069536,319012,616904,228679,213041320,4574,9.37221172673455,461772,3324790.0530793,517807877352.073,668.904761904762,972980,16272152.2953032,1182
2017-04-14,BTC,231653437,247460274,390738,705778,290208,213331528,4858,7.63648269624273,461911,3611928.00838898,520808749422.14,619.297101449275,995109,16273889.7953033,1182
2017-04-15,BTC,231981580,247811775,351501,689879,270705,213602233,3150,5.94871651283626,462061,3902849.34353167,520808749422.14,573.134228187919,991701,16275764.7953032,1182
2017-04-16,BTC,232271989,248093221,281446,595592,211829,213814062,3644,8.98163185810687,462207,3782439.64087019,520808749422.14,591.379310344827,927419,16277589.7953033,1182
2017-04-17,BTC,232556107,248421085,327864,608594,245184,214059246,4362,9.99985763730774,462345,3584873.74052114,520808749422.14,623.970802919708,930786,16279314.7953032,1182
2017-04-18,BTC,232901067,248818359,397274,715616,303091,214362337,5804,8.1045658055226,462491,3783101.40788031,520808749422.14,591.275862068965,955539,16281139.7953033,1182
2017-04-19,BTC,233248884,249220574,402215,727714,310104,214672441,4829,7.01924512418044,462634,3727175.57369548,520808749422.14,600.147887323944,984213,16282927.2953033,1182
2017-04-20,BTC,233609344,249575525,354951,691989,267915,214940356,5363,8.29650492151138,462772,3635827.38336982,520808749422.14,615.226277372263,973990,16284652.2953032,1182
2017-04-21,BTC,234003143,250004098,428573,797398,330354,215270710,4932,7.08044206111287,462939,4334487.27237915,520808749422.14,516.060240963855,975939,16286739.7953032,1182
2017-04-22,BTC,234319593,250361874,357776,695315,268712,215539422,3970,6.49844187206701,463084,3743431.91616554,520808749422.14,597.541666666667,973032,16288552.2953033,1182
2017-04-23,BTC,234621558,250687579,325705,647988,245039,215784461,3518,6.43955574233485,463237,4012677.56016959,520808749422.14,557.447368421052,947631,16290464.7953033,1182
2017-04-24,BTC,234919038,250995058,307479,611649,222671,216007132,4922,8.71599640038029,463361,3203844.5571215,520808749422.14,698.178861788618,963089,16292014.7953032,1182
2017-04-25,BTC,235288157,251422350,427292,742833,325387,216332519,8622,9.97839514433969,463509,3844789.26484216,520808749422.14,581.789115646259,966010,16293864.7953032,1182
2017-04-26,BTC,235662760,251864899,442549,771922,334471,216666990,6152,7.264468229515,463662,3998614.54813936,520808749422.14,559.407894736842,971854,16295777.2953033,1182
2017-04-27,BTC,236021156,252256258,391359,727280,297884,216964874,6871,8.85208150576382,463809,3806963.30216157,521839702599.647,588.732876712329,967617,16297614.7953032,1182
2017-04-28,BTC,236356094,252666159,409901,730815,305271,217270145,6470,8.04031278346063,463945,3516750.76994887,521974519553.628,637.481481481482,996674,16299314.7953032,1182
2017-04-29,BTC,236762121,253104152,437993,837083,341319,217611464,5551,6.11150609302251,464118,4519091.50002275,521974519553.628,496.087209302326,971570,16301477.2953033,1182
2017-04-30,BTC,237135348,253468855,364703,738955,281489,217892953,6055,6.34636872058134,464269,3919250.40936367,521974519553.628,572.013333333333,971893,16303364.7953033,1182
2017-05-01,BTC,237478342,253851437,382582,716349,294786,218187739,7137,8.51127545550515,464419,3905046.29569083,521974519553.628,574.093959731544,977420,16305239.7953032,1182
2017-05-02,BTC,237865904,254285381,433944,793139,333161,218520900,8205,7.59901160468083,464577,4174297.2290945,521974519553.628,537.063694267515,980238,16307214.7953033,1182
2017-05-03,BTC,238195428,254680661,395280,693523,295149,218816049,7429,8.89568264096517,464709,3436831.40591779,521974519553.628,652.30534351145,995290,16308864.7953032,1182
2017-05-04,BTC,238596781,255153443,472782,855571,354737,219170786,9614,8.15372757325997,464877,4376489.87642088,521974519553.628,512.251497005988,971046,16310964.7953032,1182
2017-05-05,BTC,238904124,255512189,358746,666643,267193,219437979,8778,10.7162848980499,465006,3355612.12902852,521974519553.628,668.09375,961245,16312577.2953032,1182
2017-05-06,BTC,239320212,255990993,478804,877650,363022,219801001,9036,7.47408444059663,465174,4387619.71859861,521974519553.628,510.952095808383,964933,16314677.2953032,1182
2017-05-07,BTC,239711139,256384888,393895,794066,316011,220117012,7541,7.00395462281348,465341,4419091.11878633,521974519553.628,507.313253012048,964836,16316764.7953033,1182
2017-05-08,BTC,240136534,256860572,475684,894501,365096,220482108,12213,10.6197153640628,465521,4743927.42559182,521974519553.628,472.575418994414,968144,16319014.7953033,1182
2017-05-09,BTC,240526694,257306412,445840,798779,332879,220814987,10357,9.50050093695208,465676,4042183.99957306,521974519553.628,554.616883116883,987786,16320952.2953032,1182
2017-05-10,BTC,240880605,257716788,410376,740812,311391,221126378,12271,12.4434225298636,465824,4137802.67274844,555092980097.547,576.176870748299,960165,16322802.2953032,1182
2017-05-11,BTC,241205582,258114683,397895,708026,294743,221421121,10213,10.3268038851818,465959,3744148.63787234,559970892890.838,642.350746268657,961242,16324489.7953032,1182
2017-05-12,BTC,241555282,258533571,418888,749974,317698,221738819,9730,9.67282668506556,466113,4349930.49976646,559970892890.838,552.895424836602,954580,16326414.7953032,1182
2017-05-13,BTC,241934138,258964985,431414,796331,329266,222068085,9397,9.14202381605872,466271,4413154.3279468,559970892890.838,544.974522292994,955090,16328389.7953033,1182
2017-05-14,BTC,242355263,259451035,486050,896627,369098,222437183,8539,6.89696616545579,466435,4623363.49518263,559970892890.838,520.196319018405,975085,16330439.7953033,1182
2017-05-15,BTC,242742606,259876891,425856,829143,329229,222766412,10996,9.42718316442385,466605,4721823.62353152,559970892890.838,509.349112426036,970711,16332564.7953033,1182
2017-05-16,BTC,243092084,260195806,318915,662457,233977,223000389,10740,11.9632665436378,466737,3733542.18054709,559970892890.838,644.175572519084,973960,16334214.7953032,1182
2017-05-17,BTC,243479338,260615269,419463,765222,317527,223317916,13414,12.7437324581541,466892,4362169.52004455,559970892890.838,551.344155844156,981881,16336152.2953033,1182
2017-05-18,BTC,243854365,261006049,390780,744563,288904,223606820,11279,11.1117393482728,467034,3984174.24316052,559970892890.838,603.652482269503,974609,16337927.2953033,1182
2017-05-19,BTC,244256765,261439002,432953,811073,319502,223926322,11702,9.21985991328176,467198,4553973.29914415,559970892890.838,528.122699386503,971260,16339977.2953033,1182
2017-05-20,BTC,244695926,261919470,480468,854723,352805,224279127,9322,7.94797316094194,467363,4579571.03561215,559970892890.838,525.170731707317,967212,16342039.7953032,1182
2017-05-21,BTC,245072429,262354474,435004,793969,326057,224605184,11251,7.09330997721944,467510,4162921.60031533,559970892890.838,577.732876712329,990363,16343877.2953032,1182
2017-05-22,BTC,245440572,262796648,442174,775500,327868,224933052,15365,10.1376159447049,467656,4125018.83575212,559970892890.838,583.041379310345,966800,16345702.2953032,1182
2017-05-23,BTC,245862784,263285323,488675,881824,367710,225300762,19305,11.185319652391,467824,4882067.11051552,584152236545.524,513.904191616766,978685,16347802.2953033,1182
2017-05-24,BTC,246238619,263739626,454303,814969,338642,225639404,18921,10.5958106812069,467978,4700719.84205552,595921917085.416,544.483660130719,970548,16349727.2953033,1182
2017-05-25,BTC,246634808,264215282,475656,846813,350114,225989518,16351,10.0849578388085,468141,4804502.30548824,595921917085.416,532.722222222222,976875,16351764.7953032,1182
2017-05-26,BTC,247021933,264687482,472200,822114,333340,226322858,12684,8.41373966686098,468294,4635883.43542494,595921917085.416,552.098684210526,958775,16353677.2953033,1182
2017-05-27,BTC,247448551,265136678,449196,896081,331914,226654772,9375,8.00622435752785,468462,4976779.17203468,595921917085.416,514.281437125748,991460,16355777.2953032,1182
2017-05-28,BTC,247875830,265534517,397839,860215,308143,226962915,10415,9.04302894522157,468627,4874718.76893719,595921917085.416,525.048780487805,977982,16357839.7953033,1182
2017-05-29,BTC,248238059,265956989,422472,773589,321638,227284553,9577,7.85084151930086,468778,4450314.96879171,595921917085.416,575.12,977900,16359727.2953032,1182
2017-05-30,BTC,248646442,266417099,460110,851547,347961,227632514,15138,10.9967213226888,468957,5289686.11217811,595921917085.416,483.859550561798,980603,16361964.7953032,1182
2017-05-31,BTC,249035527,266854699,437600,822814,321634,227954148,13223,10.3546628292491,469121,4873007.82136816,595921917085.416,525.233128834356,976696,16364014.7953032,1182
2017-06-01,BTC,249447577,267293631,438932,841940,319709,228273857,13097,10.501459860669,469291,5048549.32981513,595921917085.416,506.970414201183,977746,16366139.7953032,1182
2017-06-02,BTC,249801209,267666664,373033,729203,271539,228545396,11874,10.7859590800078,469437,4415548.62048883,595921917085.416,579.648275862069,981988,16367964.7953032,1182
2017-06-03,BTC,250261895,268076849,410185,887640,305320,228850716,14531,10.5918678035304,469629,5715362.81088963,595921917085.416,447.821989528796,981052,16370364.7953033,1182
2017-06-04,BTC,250611044,268438492,361643,738057,266044,229116760,13148,13.1041300084383,469790,5101848.0022639,628336862171.423,528.9625,982358,16372377.2953032,1182
2017-06-05,BTC,251004131,268846944,408452,770564,289930,229406690,14896,11.2424677720018,469954,5554095.01806578,678760110082.99,524.883435582822,964430,16374427.2953032,1182
2017-06-06,BTC,251375730,269279784,432840,805562,297416,229704106,12564,8.55931642921222,470105,5105163.341685,678760110082.99,571.04,990044,16376314.7953032,1182
2017-06-07,BTC,251824624,269761254,481470,882021,339720,230043826,13162,7.74404923287437,470270,5546548.71157418,678760110082.99,525.59756097561,992122,16378377.2953032,1182
2017-06-08,BTC,252239430,270191921,430667,824752,307377,230351203,11646,7.79365144620551,470435,5586079.89251147,678760110082.99,521.878048780488,969814,16380439.7953032,1182
2017-06-09,BTC,252618199,270598372,406451,769003,282184,230633387,12053,9.20187216209767,470586,5062901.56644441,678760110082.99,575.806666666667,973540,16382327.2953032,1182
2017-06-10,BTC,252953066,270956035,357663,705037,254993,230888380,11995,9.60465036341876,470727,4807078.03551126,678760110082.99,606.45,966455,16384089.7953032,1182
2017-06-11,BTC,253283127,271274040,318005,669902,222892,231111272,11649,10.325782132927,470873,4932054.66090508,678760110082.99,591.082758620689,945474,16385914.7953033,1182
2017-06-12,BTC,253638108,271660372,386332,725777,269098,231380370,12090,10.7527330969312,471020,5033013.60219503,678760110082.99,579.22602739726,967594,16387752.2953032,1182
2017-06-13,BTC,253983157,272086038,425666,771394,291776,231672146,14824,11.4225571948061,471161,4827433.27753282,678760110082.99,603.892857142857,977147,16389514.7953032,1182
2017-06-14,BTC,254346501,272493345,407307,746991,287644,231959790,14442,11.3573501819876,471301,4743244.18506604,678760110082.99,614.611510791367,969356,16391264.7953032,1182
2017-06-15,BTC,254752532,272903387,410042,799478,293141,232252931,12012,10.4605834775706,471454,5130347.52170428,678760110082.99,568.236842105263,994383,16393177.2953033,1182
2017-06-16,BTC,255111888,273281721,378334,732364,269937,232522868,14762,12.7756999617365,471602,5002592.8484715,678760110082.99,582.748299319728,983088,16395027.2953032,1182
2017-06-17,BTC,255441770,273613564,331843,667827,236554,232759422,11763,9.88436441709783,471747,4955769.83288433,679668719409.632,589.041666666667,985705,16396839.7953032,1182
2017-06-18,BTC,255760165,273906263,292699,631933,209359,232968781,9657,10.8107024592185,471892,5120246.74262849,711697198173.757,596.986111111111,936637,16398652.2953033,1182
2017-06-19,BTC,256137124,274288252,381989,733099,269774,233238555,14223,11.3864535450829,472043,5342477.29188758,711697198173.757,572.153333333333,986316,16400539.7953032,1182
2017-06-20,BTC,256456994,274692877,404625,745136,269438,233507993,13682,11.202743259438,472181,4879064.64104769,711697198173.757,626.496350364964,965675,16402264.7953033,1182
2017-06-21,BTC,256806572,275109171,416294,758122,280203,233788196,15631,12.9390901268027,472321,4935742.83566727,711697198173.757,619.302158273381,983057,16404014.7953033,1182
