date,symbol,open_interest,open_interest_usd
2023-12-20T04:00:00Z,ETHUSDT,804675.994,1760116195.0111806
2023-12-20T04:00:00Z,ETHUSDT,804675.994,1760116195.0111806
2023-12-20T04:00:00Z,ETHUSDT,804675.994,1760116195.0111806
2023-12-20T08:00:00Z,ETHUSDT,801595.755,1777771049.48145
2023-12-20T12:00:00Z,ETHUSDT,798384.543,1766311565.868467
2023-12-20T16:00:00Z,ETHUSDT,815441.504,1833601061.6464994
2023-12-20T20:00:00Z,ETHUSDT,827104.901,1825006964.0565
2023-12-21T00:00:00Z,ETHUSDT,815680.306,1797658649.7657197
2023-12-21T04:00:00Z,ETHUSDT,833777.904,1836145700.1888
2023-12-21T08:00:00Z,ETHUSDT,843209.761,1869198384.104245
2023-12-21T12:00:00Z,ETHUSDT,865830.696,1952756087.8877616
2023-12-21T16:00:00Z,ETHUSDT,852036.437,1903883938.84087
2023-12-21T20:00:00Z,ETHUSDT,841919.126,1875086713.188929
2023-12-22T00:00:00Z,ETHUSDT,835483.436,1872610799.2786
2023-12-22T04:00:00Z,ETHUSDT,830826.968,1870120779.0609958
2023-12-22T08:00:00Z,ETHUSDT,871207.472,1982267297.5219407
2023-12-22T12:00:00Z,ETHUSDT,894977.632,2071926916.73792
2023-12-22T16:00:00Z,ETHUSDT,881778.22,2047250946.7206
2023-12-22T20:00:00Z,ETHUSDT,872614.775,2016961790.935
2023-12-23T00:00:00Z,ETHUSDT,872280.839,2029132163.6220536
2023-12-23T04:00:00Z,ETHUSDT,839713.339,1909894401.02194
2023-12-23T08:00:00Z,ETHUSDT,853199.27,1949524471.728722
2023-12-23T12:00:00Z,ETHUSDT,853041.779,1952465301.4769003
2023-12-23T16:00:00Z,ETHUSDT,857314.84,1960595321.8400702
2023-12-23T20:00:00Z,ETHUSDT,849191.004,1947653535.31416
2023-12-24T00:00:00Z,ETHUSDT,849756.301,1963032836.2032917
2023-12-24T04:00:00Z,ETHUSDT,865898.966,2007504853.063352
2023-12-24T08:00:00Z,ETHUSDT,845971.922,1942478428.7003
2023-12-24T12:00:00Z,ETHUSDT,842904.136,1930134474.6562948
2023-12-24T16:00:00Z,ETHUSDT,844592.664,1937879449.0209534
2023-12-24T20:00:00Z,ETHUSDT,848929.833,1944049317.57
2023-12-25T00:00:00Z,ETHUSDT,833509.964,1888250142.64488
2023-12-25T04:00:00Z,ETHUSDT,849574.965,1935187342.52595
2023-12-25T08:00:00Z,ETHUSDT,844211.872,1926523143.450074
2023-12-25T12:00:00Z,ETHUSDT,847866.412,1933542395.23776
2023-12-25T16:00:00Z,ETHUSDT,837032.207,1915502971.1011899
2023-12-25T20:00:00Z,ETHUSDT,823799.594,1874664353.9117453
2023-12-26T00:00:00Z,ETHUSDT,823479.563,1871941977.40723
2023-12-26T04:00:00Z,ETHUSDT,827790.907,1879819211.2074153
2023-12-26T08:00:00Z,ETHUSDT,847588.128,1900713413.9312358
2023-12-26T12:00:00Z,ETHUSDT,839597.085,1884510894.9202783
2023-12-26T16:00:00Z,ETHUSDT,832361.171,1856586910.8282368
2023-12-26T20:00:00Z,ETHUSDT,818213.043,1811229457.184823
2023-12-27T00:00:00Z,ETHUSDT,814152.63,1817555038.8435
2023-12-27T04:00:00Z,ETHUSDT,825278.9,1831602329.0612915
2023-12-27T08:00:00Z,ETHUSDT,827824.967,1846413981.995604
2023-12-27T12:00:00Z,ETHUSDT,817431.654,1870054743.48888
2023-12-27T16:00:00Z,ETHUSDT,885985.537,2077219040.1345894
2023-12-27T20:00:00Z,ETHUSDT,878000.841,2061946678.9570577
2023-12-28T00:00:00Z,ETHUSDT,874768.549,2082194184.529043
2023-12-28T04:00:00Z,ETHUSDT,862825.905,2084342291.627102
2023-12-28T08:00:00Z,ETHUSDT,869388.608,2071805216.18048
2023-12-28T12:00:00Z,ETHUSDT,870371.554,2092031594.981055
2023-12-28T16:00:00Z,ETHUSDT,851693.692,2010759501.56713
2023-12-28T20:00:00Z,ETHUSDT,854346.755,2020008924.05445
2023-12-29T00:00:00Z,ETHUSDT,840465.186,1971445568.19276
2023-12-29T04:00:00Z,ETHUSDT,832173.982,1959054057.98548
2023-12-29T08:00:00Z,ETHUSDT,809752.392,1890771083.8454876
2023-12-29T12:00:00Z,ETHUSDT,811041.079,1925887710.1871994
2023-12-29T16:00:00Z,ETHUSDT,809915.883,1886156405.80689
2023-12-29T20:00:00Z,ETHUSDT,789954.825,1831769947.4434032
2023-12-30T00:00:00Z,ETHUSDT,779943.119,1794343088.1897693
2023-12-30T04:00:00Z,ETHUSDT,789640.312,1816299060.04992
2023-12-30T08:00:00Z,ETHUSDT,796426.456,1829883896.8919828
2023-12-30T12:00:00Z,ETHUSDT,801595.224,1835379739.9262834
2023-12-30T16:00:00Z,ETHUSDT,800057.021,1851643968.83219
2023-12-30T20:00:00Z,ETHUSDT,792662.565,1824414927.6313326
2023-12-31T00:00:00Z,ETHUSDT,780635.177,1790057326.7515602
2023-12-31T04:00:00Z,ETHUSDT,784184.021,1792371621.5059655
2023-12-31T08:00:00Z,ETHUSDT,791605.726,1818270856.27844
2023-12-31T12:00:00Z,ETHUSDT,813328.627,1879227749.560848
2023-12-31T16:00:00Z,ETHUSDT,806024.244,1854339375.7464
2023-12-31T20:00:00Z,ETHUSDT,800843.861,1839418222.13785
2024-01-01T00:00:00Z,ETHUSDT,779686.072,1780609248.271352
2024-01-01T04:00:00Z,ETHUSDT,782577.195,1780693691.1664703
2024-01-01T08:00:00Z,ETHUSDT,791553.892,1809774466.5517821
2024-01-01T12:00:00Z,ETHUSDT,790110.483,1822507276.0630925
2024-01-01T16:00:00Z,ETHUSDT,794745.953,1841219302.6469529
2024-01-01T20:00:00Z,ETHUSDT,784963.64,1836336023.2539315
2024-01-02T00:00:00Z,ETHUSDT,784369.621,1846900240.69523
2024-01-02T04:00:00Z,ETHUSDT,815693.502,1947950610.5867884
2024-01-02T08:00:00Z,ETHUSDT,819090.705,1955849358.12015
2024-01-02T12:00:00Z,ETHUSDT,830920.855,1989409183.2923827
2024-01-02T16:00:00Z,ETHUSDT,795893.979,1877660178.1530225
2024-01-02T20:00:00Z,ETHUSDT,804351.629,1907310756.74996
2024-01-03T00:00:00Z,ETHUSDT,790141.868,1862218748.359586
2024-01-03T04:00:00Z,ETHUSDT,801385.651,1899572491.70436
2024-01-03T08:00:00Z,ETHUSDT,799096.784,1888121863.17088
2024-01-03T12:00:00Z,ETHUSDT,812626.892,1876396124.9726
2024-01-03T16:00:00Z,ETHUSDT,756591.418,1695382089.0028436
2024-01-03T20:00:00Z,ETHUSDT,733908.126,1619615720.4609456
2024-01-04T00:00:00Z,ETHUSDT,731620.263,1617129063.7727087
2024-01-04T04:00:00Z,ETHUSDT,727682.659,1623844424.3759263
2024-01-04T08:00:00Z,ETHUSDT,720423.521,1601237612.962802
2024-01-04T12:00:00Z,ETHUSDT,732917.176,1633734830.4044123
2024-01-04T16:00:00Z,ETHUSDT,738828.566,1682733777.06462
2024-01-04T20:00:00Z,ETHUSDT,733314.633,1668210125.46537
2024-01-05T00:00:00Z,ETHUSDT,728380.749,1651681299.9056237
2024-01-05T04:00:00Z,ETHUSDT,720039.748,1614833142.8396
2024-01-05T08:00:00Z,ETHUSDT,715334.4,1611415556.4305654
2024-01-05T12:00:00Z,ETHUSDT,721683.438,1618051701.5138576
2024-01-05T16:00:00Z,ETHUSDT,726452.545,1616425548.6314912
2024-01-05T20:00:00Z,ETHUSDT,724555.003,1618900665.9215503
2024-01-06T00:00:00Z,ETHUSDT,744413.251,1688740614.2141342
2024-01-06T04:00:00Z,ETHUSDT,743639.61,1675791878.0379283
2024-01-06T08:00:00Z,ETHUSDT,744848.627,1663314020.46743
2024-01-06T12:00:00Z,ETHUSDT,744659.289,1667173002.58476
2024-01-06T16:00:00Z,ETHUSDT,747409.691,1678883966.60257
2024-01-06T20:00:00Z,ETHUSDT,746754.102,1676082111.5229766
2024-01-07T00:00:00Z,ETHUSDT,742433.81,1663374414.6946712
2024-01-07T04:00:00Z,ETHUSDT,748134.51,1677310090.0749
2024-01-07T08:00:00Z,ETHUSDT,748724.478,1683798991.32942
2024-01-07T12:00:00Z,ETHUSDT,758147.869,1695696268.24147
2024-01-07T16:00:00Z,ETHUSDT,757982.752,1690225738.6848
2024-01-07T20:00:00Z,ETHUSDT,750268.306,1686798221.64756
2024-01-08T00:00:00Z,ETHUSDT,751965.183,1670016915.96921
2024-01-08T04:00:00Z,ETHUSDT,748157.194,1638791117.3687103
2024-01-08T08:00:00Z,ETHUSDT,753223.91,1674932782.8438125
2024-01-08T12:00:00Z,ETHUSDT,755431.57,1692281028.8184872
