date,adj,close,raw,div,split
1973-10-23,0.13520407110600036,0.230859,0.230859,0,1
1973-10-24,0.13139554696614736,0.224356,0.224356,0,1
1973-10-25,0.125682467928124,0.214601,0.214601,0,1
1973-10-26,0.1199699745465884,0.204847,0.204847,0,1
1973-10-29,0.11425689550856505,0.195092,0.195092,0,1
1973-10-30,0.10092676819083574,0.172331,0.172331,0,1
1973-10-31,0.11044837136871206,0.188589,0.188589,0,1
1973-11-01,0.11044837136871206,0.188589,0.188589,0,1
1973-11-02,0.11425689550856505,0.195092,0.195092,0,1
1973-11-05,0.10663984722885908,0.182086,0.182086,0,1
1973-11-06,0.10092676819083574,0.172331,0.172331,0,1
1973-11-07,0.1028313230890061,0.175583,0.175583,0,1
1973-11-08,0.09521427480930013,0.162577,0.162577,0,1
1973-11-09,0.09521427480930013,0.162577,0.162577,0,1
1973-11-12,0.09330971991112975,0.159325,0.159325,0,1
1973-11-13,0.09140575066944713,0.156074,0.156074,0,1
1973-11-14,0.08759722652959416,0.149571,0.149571,0,1
1973-11-15,0.08759722652959416,0.149571,0.149571,0,1
1973-11-16,0.09140575066944713,0.156074,0.156074,0,1
1973-11-19,0.09140575066944713,0.156074,0.156074,0,1
1973-11-20,0.08378870238974118,0.143068,0.143068,0,1
1973-11-21,0.0818841474915708,0.139816,0.139816,0,1
1973-11-23,0.0818841474915708,0.139816,0.139816,0,1
1973-11-26,0.07617106845354746,0.130061,0.130061,0,1
1973-11-27,0.07426709921186483,0.12681,0.12681,0,1
1973-11-28,0.07426709921186483,0.12681,0.12681,0,1
1973-11-29,0.07045857507201185,0.120307,0.120307,0,1
1973-11-30,0.06665005093215887,0.113804,0.113804,0,1
1973-12-03,0.07426709921186483,0.12681,0.12681,0,1
1973-12-04,0.07045857507201185,0.120307,0.120307,0,1
1973-12-05,0.07045857507201185,0.120307,0.120307,0,1
1973-12-06,0.07045857507201185,0.120307,0.120307,0,1
1973-12-07,0.07426709921186483,0.12681,0.12681,0,1
1973-12-10,0.07617106845354746,0.130061,0.130061,0,1
1973-12-11,0.08378870238974118,0.143068,0.143068,0,1
1973-12-12,0.08378870238974118,0.143068,0.143068,0,1
1973-12-13,0.07617106845354746,0.130061,0.130061,0,1
1973-12-14,0.07617106845354746,0.130061,0.130061,0,1
1973-12-17,0.07617106845354746,0.130061,0.130061,0,1
1973-12-18,0.07617106845354746,0.130061,0.130061,0,1
1973-12-19,0.07045857507201185,0.120307,0.120307,0,1
1973-12-20,0.07045857507201185,0.120307,0.120307,0,1
1973-12-21,0.0818841474915708,0.139816,0.139816,0,1
1973-12-24,0.07807562335171782,0.133313,0.133313,0,1
1973-12-26,0.07807562335171782,0.133313,0.133313,0,1
1973-12-27,0.07807562335171782,0.133313,0.133313,0,1
1973-12-28,0.07617106845354746,0.130061,0.130061,0,1
1973-12-31,0.07807562335171782,0.133313,0.133313,0,1
1974-01-02,0.07807562335171782,0.133313,0.133313,0,1
1974-01-03,0.07807562335171782,0.133313,0.133313,0,1
1974-01-04,0.09140575066944713,0.156074,0.156074,0,1
1974-01-07,0.09330971991112975,0.159325,0.159325,0,1
1974-01-08,0.09902279894915311,0.16908,0.16908,0,1
1974-01-09,0.11044837136871206,0.188589,0.188589,0,1
1974-01-10,0.11425689550856505,0.195092,0.195092,0,1
1974-01-11,0.10663984722885908,0.182086,0.182086,0,1
1974-01-14,0.1028313230890061,0.175583,0.175583,0,1
1974-01-15,0.1028313230890061,0.175583,0.175583,0,1
1974-01-16,0.10092676819083574,0.172331,0.172331,0,1
1974-01-17,0.09521427480930013,0.162577,0.162577,0,1
1974-01-18,0.09521427480930013,0.162577,0.162577,0,1
1974-01-21,0.09330971991112975,0.159325,0.159325,0,1
1974-01-22,0.09140575066944713,0.156074,0.156074,0,1
1974-01-23,0.08378870238974118,0.143068,0.143068,0,1
1974-01-24,0.08378870238974118,0.143068,0.143068,0,1
1974-01-25,0.08378870238974118,0.143068,0.143068,0,1
1974-01-28,0.08569267163142379,0.146319,0.146319,0,1
